ID,Address,Business Type,Company Name,Local Authorities,Products Sold,Status
11745,"Old Post Office, Breakish IV42 8PY",Off-Licence,The Misty Bottle,Highland,Tobacco And Nicotine Vapour Products,Active
11746,"30 John Street,  AB25 1BT",Public House,The Mither Tap,Aberdeen City,Tobacco Only,Active
11747,"1 Union Terrace, Aberdeen AB10 1NJ",Public House,Imperial Tobacco Limited,Aberdeen City,Tobacco Only,Inactive
11748,"2 Trinity Quay, Merchant Quarter AB11 5AA",Public House,The Moorings Bar (Aberdeen) Limited,Aberdeen City,Tobacco Only,Active
11749,"27B MAIN STREET, CROSSGATES KY4 8AJ",Confectionary / Tobacconist / Newsagents,THE MUNCH BOX,Fife,Tobacco Only,Inactive
11750,"756 old edingburgh road, viewpark G71 6LA",Other Catering,the myrtle tree cafe,North Lanarkshire,Tobacco Only,Inactive
11751,"1 CLARKE STREET,  AB16 7XJ",Convenience Store,THE NEUK,Aberdeen City,Tobacco Only,Active
11752,"726, springfield road G31 4JX",Other Catering,the new dairy,Glasgow City,Tobacco Only,Active
11753,"39 dundas strret edinburgh,  EH3 6QQ",Confectionary / Tobacconist / Newsagents,the new town store,Edinburgh City,Tobacco Only,Inactive
11754,"main street, newburgh AB41 6BP",Public House,newburgh inn ltd,Aberdeenshire,Tobacco Only,Active
11755,"245 MORNINGSIDE   ROAD,  EH10 4QU",Confectionary / Tobacconist / Newsagents,THE NEWS,Edinburgh City,Tobacco Only,Inactive
11756,"R S McColl Ltd, 10 Bridgegate KA12 8BQ",Confectionary / Tobacconist / Newsagents,ESA Scot Ltd,North Ayrshire,Tobacco And Nicotine Vapour Products,Active
11757,"28 High Street,  EH49 7AE",Other Retail,The News Shop,West Lothian,Tobacco Only,Inactive
11758,"109 Queensferry Road,  KY11 2PS",Convenience Store,The Newsagent,Fife,Tobacco And Nicotine Vapour Products,Active
11759,"331 Nitshill Road,  G53 7BL",Convenience Store,The Newsagent: Hut 2,Glasgow City,Tobacco Only,Active
11760,"125 Albert Street,  DD4 6PR",Confectionary / Tobacconist / Newsagents,The Newsagents,Dundee City,Tobacco Only,Inactive
11761,"125 Albert Street,  DD4 6PR",Confectionary / Tobacconist / Newsagents,The Newsagents,Dundee City,Tobacco And Nicotine Vapour Products,Active
11762,"Glamis Road,  DD8 5ED",Public House,The Newton Hotel,Angus,Tobacco Only,Inactive
11763,"Old Perth Road,  PH20 1AR",Restaurant,The Newtonmore Grill Company Ltd,Highland,Tobacco Only,Inactive
11764,"Linlithgow Road,  EH51 0HX",Public House,Newtown Bar,Falkirk,Tobacco Only,Inactive
11765,"Main Street,  IV27 4DB",Public House,Lairg Highland Hotel,Highland,Tobacco Only,Active
11766,"15 Taliesin Avenue, Shotton CH5 1HX",Forecourt Garage,TN Events Supplies,Dumfries and Galloway,Tobacco Only,Active
11767,"15 Taliesin Avenue, Shotton CH5 1HX",Forecourt Garage,TN Events Supplies,"Argyll and Bute, Dumfries and Galloway, Edinburgh City, Glasgow City, Perth and Kinross, Stirling",Tobacco Only,Active
11768,"The Noust Bar, Orphir KW17 2RB",Public House,the noust bar,Orkney Islands,Tobacco Only,Active
11769,"Glasgow Prestwick International Airport,  KA9 2PL",Bulk Suppliers,The Nuance Group,South Ayrshire,Tobacco Only,Active
11770,"93 shore street,  AB43 9BR",Public House,sunnyside bar co ltd,Aberdeenshire,Tobacco Only,Inactive
11771,"155 Allison Street,  G42 8RY",Convenience Store,Offie,Glasgow City,Tobacco Only,Active
11772,"36 Munches Street,  DG1 1ET",Confectionary / Tobacconist / Newsagents,The offie,Dumfries and Galloway,Tobacco And Nicotine Vapour Products,Active
11773,"Doctors lane, high st, strichen, Fraserburgh AB43 6SR",Other Retail,The Old Auction Room,Aberdeenshire,Tobacco Only,Inactive
11774,"East Links Road,  EH31 2AF",Public House,The Old Clubhouse LTD,East Lothian,Tobacco Only,Active
11775,"Old Station Road,  KY16 9SP",Sports Club,The Old Course Ltd,Fife,Tobacco Only,Active
11776,"25A DRYGATE STREET,  ML9 2DA",Forecourt Garage,THE OLD CROSS GARAGE,South Lanarkshire,Tobacco Only,Active
11777,"The Old Forge, Inverie, Knoydart, By Mallaig PH41 4PL",Public House,The Old Forge Public House,Highland,Tobacco Only,Active
11778,"Flowerdale, Gareloch IV21 2BD",Hotel,The Old Inn,Highland,Tobacco Only,Inactive
11779,"13 KIRKGATE,  KY12 0UX",Public House,THE OLD INN,Fife,Tobacco Only,Active
11780,"Kirkhill,  IV5 7PX",Hotel,The Old North Inn,Highland,Tobacco Only,Active
11781,"59 Swinhill Road, Birkenshaw ML9 2TX",Hotel,The Old School Guest House Ltd,South Lanarkshire,Tobacco And Nicotine Vapour Products,Active
